Word,Translation
попадать,get
ботинок,boot
польза,use
печать,seal
пот,sweat
корпус,corps
склад,warehouse
компьютер,computer
слева,left
уважать,respect
женить,marry
рана,wound
ложиться,lie down
коробка,box
секрет,secret
седьмой,seventh
холм,hill
лесной,forest
ремень,belt
таков,such
произведение,product
цифра,figure
привет,Hello
телефонный,telephonic
помощник,assistant
полет,flight
пожар,fire
корова,cow
глупость,stupidity
расположить,arrange
посидеть,sit
налить,pour
симптом,symptom
сообразить,figure out
южный,southern
бумажка,Paper
радио,radio
торопливый,hurried
удаваться,succeed
ха,ha
профессия,profession
послышаться,Hear
ровный,even
старинный,ancient
разведка,reconnaissance
свидетель,witness
указать,indicate
халат,dressing gown
сегодняшний,Today
зимний,winter
тьма,darkness
повести,Story
холодно,It's cold
сообщение,Message
гроб,coffin
подхватить,catch
яма,pit
позади,behind
жест,gesture
устраивать,arrange
шоссе,highway
участвовать,participate
уважение,respect
цепь,chain
подвал,basement
некогда,once
сохранить,save
лампа,lamp
закрывать,shut
доля,part
неплохо,Not bad
смешной,funny
понадобиться,need
старушка,old woman
покачать,rock
выясниться,find out
уничтожить,destroy
отвести,avert
гриб,mushroom
бродить,wander
погода,weather
памятник,monument
жар,fever
валяться,wallow
кожаный,leather
механизм,mechanism
израиль,Israel
мирный,peaceful
потеря,loss
произносить,pronounce
контроль,control
профессиональный,professional
дверца,door
предупредить,forestall
добиться,achieve
норма,norm
ложка,spoon
зарплата,salary
веревка,rope
метода,method
исключение,exception
убрать,remove
волнение,excitement
вечно,eternally
смешно,That's funny
поддерживать,support
продавать,sell
нежный,tender
баня,bath
путем,By
повесить,hang
ужин,supper
март,March
оглядываться,look back
сигнал,signal
сыграть,play
библиотека,library
услать,send
махать,wave
цк,Cc
предполагать,suppose
заметно,noticeably
сеть,net
коричневый,brown
тщательно,thoroughly
нерв,nerve
вертолет,helicopter
сладкий,sweet
лекарство,medicine
рассчитывать,calculate
запретить,prohibit
кладбище,cemetery
переход,transition
сообщать,inform
функция,function
перебить,kill
пулемет,machine gun
металлический,metallic
батальон,battalion
грузовик,lorry
радостно,gladly
император,emperor
обидеться,take offence
башня,tower
сырой,raw
инструмент,tool
вынести,bear
мелочь,trifle
жесткий,hard
присутствие,presence
разбитый,broken
поглядывать,cast a glance
структура,structure
отозваться,answer
непонятно,Wonder
бесконечный,endless
ружье,gun
обрадоваться,Rejoice
участник,participant
попасться,get caught
задание,the task
пробормотать,Mumble
покинуть,Leave
перо,feather
сфера,sphere
судья,judge
жизненный,vital
кончить,Cum
листок,leaf
равный,equal
ужасный,horrible
отдых,relaxation
применять,apply
непременно,Be sure to
золото,gold
угроза,threat
доложить,Report
яблоко,apple
меняться,change
обратный,back
путешествие,journey
традиция,tradition
полезный,useful
франция,France
гнать,Drive
выяснить,to figure out
драться,fight
раненый,wounded
депутат,deputy
захотеться,Want
американец,American
производить,produce
нигде,Nowhere
знакомство,acquaintance
заснуть,fall asleep
свернуть,to curtail
задумчиво,thoughtfully
подозревать,suspect
скромный,modest
спускаться,to go down
следствие,consequence
медицинский,medical
договориться,reach an agreement
яйцо,egg
поступок,Act
преступник,criminal
проверять,check
присесть,sit down
звание,rank
дрова,firewood
удобный,convenient
аккуратно,neatly
подушка,pillow
бег,run
тетка,aunt
пропустить,skip
высоко,high
дивизия,division
коньяк,cognac
др,etc.
распахнуть,open
исключительно,exclusively
мягко,soft
горизонт,horizon
китайский,Chinese
ползти,crawl
выбраться,Get out
мрачный,gloomy
деталь,detail
контакт,contact
жук,beetle
шеф,chef
петербург,Petersburg
правильный,right
погодить,wait
новость,news
утренний,morning
гений,genius
передача,broadcast
редакция,editors
опуститься,descend
декабрь,December
публика,public
колхоз,collective farm
свадьба,wedding
лук,onion
городок,town
немало,A lot
бандит,bandit
москвич,Moskvich
лаборатория,laboratory
прекратить,stop
согласно,according to
справиться,deal
молодежь,the youth
ноябрь,november
строительство,building
прислушиваться,listen
пакет,plastic bag
пенсия,pension
постараться,Try
ценность,value
заяц,hare
сэр,sir
желудок,stomach
слабость,weakness
танец,dance
изучать,study
удивительно,marvelous
пилить,to saw
князь,Prince
партийный,party
бомба,bomb
воин,warrior
подписать,subscribe
стрелок,shooter
посылать,send
комитет,Committee
карточка,card
итог,result
девка,Girl
воображение,imagination
душевный,Soul
плотный,dense
танцевать,dance
склон,slope
действительность,reality
объяснение,explanation
серебряный,silver
коротко,short
подобрать,Pick up
незаметно,imperceptibly
осветить,illuminate
дешевый,cheap
многочисленный,numerous
степь,steppe
стеклянный,glass
вор,thief
внук,grandson
голодный,hungry
винтовка,rifle
лев,a lion
тяжесть,severity
приобрести,purchase
оборона,defense
ужасно,terrible
огонек,light
поинтересоваться,To ask
вечерний,evening
заорать,yell
трогать,touch
задержать,detain
подбородок,the chin
стиль,style
вещий,prophetic
редактор,editor
потребовать,Require
щель,The gap
вслух,aloud
блестеть,shine
противоположный,opposite
давление,pressure
коммунистический,communist
режиссер,producer
значительно,much
дар,gift
метро,Metro
шанс,chance
конкретный,specific
наблюдение,Observation
май,May
усесться,sit down
сиять,shine
туча,cloud
стоящий,standing
вырваться,to break out
отвернуться,Turn away
дума,thought
закончиться,end
клиент,client
двигатель,engine
сентябрь,September
дежурный,duty
бормотать,Mumble
завтрак,breakfast
состояться,take place
рыбак,fisherman
взвод,platoon
особо,Especially
поправить,Correct
альбом,album
болото,swamp
ответственность,a responsibility
ощутить,Feel
беспокоиться,worry
пламя,flame
задавать,set
выдавать,give out
полететь,fly
художественный,art
отдохнуть,relax
снаряд,shell
ярко,Bright
марка,Mark
заместитель,deputy
папка,folder
отказываться,refuse
концерт,concert
творческий,creative
разум,intelligence
волшебный,magic
мк,MK
пояснить,Explain
активный,active
услуга,service
белье,Lingerie
прощать,forgive
благо,good
ангел,angel
шуметь,make noise
одинаковый,same
толь,only
мина,mine
модель,model
массовый,mass
разрешение,permission
наличие,Availability
доноситься,come
этап,stage
описать,Describe
невольно,involuntarily
козел,goat
возвращение,return
класть,Put
шагать,step
идиот,idiot
ненависть,hatred
жалкий,Miserable
победить,win
плавать,to swim
летчик,pilot
лекция,lecture
смелый,brave
случайный,random
каков,what
печь,bake
разобрать,disassemble
государь,Sovereign
замуж,Marry
верх,top
изображение,image
моряк,sailor
речка,river
республика,republic
гордость,pride
бревно,log
невеста,bride
потянуться,stretch
кривой,crooked
посреди,in the middle
предположить,assume
вчерашний,Yesterday
прибор,device
кандидат,candidate
портфель,briefcase
доставить,deliver
ошибиться,To make a mistake
разбудить,to wake
невидимый,invisible
виза,visa
гибель,death
прятать,hide
карьера,career
водить,drive
малыш,baby
пробовать,try
заплатить,pay
назначение,appointment
гвоздь,nail
кафе,cafe
убийца,killer
неведомый,Unknown
японский,Japanese
обязанность,duty
отель,hotel
обнять,to embrace
допустимый,permissible
заглядывать,look
подготовка,preparation
последствие,consequence
красавица,gorgeous
ковер,carpet
выбросить,throw away
анализ,analysis
устроиться,get a job
собственность,own
оценить,estimate
немножко,A little
хлопнуть,clap
родить,Give birth
уставиться,Start
отечественный,domestic
снизу,from below
прокурор,Prosecutor
карандаш,pencil
принц,prince
слышаться,To be heard
лидер,leader
представляться,introduce themselves
спирт,alcohol
обеспечить,Provide
бизнес,business
иностранец,foreigner
биться,beat
достигнуть,achieve
выпускать,release
поп,pop
койка,Koika
приготовить,Prepare
жестокий,cruel
руль,steering wheel
требование,requirement
сволочь,Bastard
развиваться,develop
увы,Alas
меж,between
пожалеть,Pity
вызов,call
спутник,satellite
обойти,Go around
оторвать,Tear off
отчаяние,despair
применение,Application
заключаться,Come on
организовать,organize
мука,flour
приглашать,invite
распоряжение,Order
еврейский,Jewish
галстук,tie
поддержать,support
сбить,to knock down
заработать,Earn
госпиталь,hospital
течь,flow
материальный,material
училище,school
последовать,follow
отличный,a great
стук,Knock
гигантский,giant
скандал,scandal
ледяной,ice
отпуск,vacation
полагаться,rely
доставать,Get out
продолжить,continue
суровый,severe
рукопись,manuscript
дура,stupid
полицейский,policeman
кадр,frame
сиденье,seat
ныне,now
указывать,indicate
экспедиция,expedition
спичка,match
сложиться,Stand up
таинственный,mysterious
брак,marriage
посуда,tableware
снежный,snow
горный,mountain
справедливость,justice
лопата,shovel
набрать,Dial
кнопка,button
предпочитать,prefer
необыкновенный,unusual
научить,teach
мистер,Mister
дорожка,track
проявление,manifestation
такси,Taxi
внутрь,inside
ловко,Clever
хрен,horseradish
владелец,owner
свинья,pig
плод,fetus
интересоваться,Interested in
расстрелять,shoot
побывать,visit
вовремя,in time
заплакать,Cry
окружить,surround
заседание,meeting
патрон,cartridge
охотно,willingly
раскрыть,to uncover
надел,allotment
агент,agent
супруг,spouse
январь,January
соль,salt
роза,the Rose
развести,Dilute
опытный,experienced
комиссар,Commissioner
свидание,date
воздушный,air
вооруженный,armed
негромко,quietly
питание,nutrition
неловко,awkward
деловой,business
кролик,rabbit
шкура,skin
политик,politician
грохот,bolt
переживать,worry
финансовый,financial
украсть,steal
слыхать,Hear
неприятность,trouble
достойный,worthy
шестьдесят,sixty
электрический,electric
успевать,be on time
пережить,been through
контора,office
русски,Russian
возражать,mind
суп,soup
европейский,European
палата,ward
сплошной,solid
мода,fashion
кусочек,slice
понятный,Clear
старичок,Old man
потянуть,pull
сорвать,to disrupt
июнь,June
порт,port
комплекс,complex
спортивный,sports
поддержка,support
блеск,shine
уснуть,fall asleep
потребность,need
лента,ribbon
громадный,huge
сопровождать,to accompany
открываться,open
бочок,barrel
музыкант,musician
договор,Treaty
поход,campaign
подготовить,prepare
мастерская,workshop
защищать,protect
происхождение,origin
спора,spore
ломать,break
пушок,Fluff
рубаха,shirt
оболочка,Shell
нормально,fine
вступить,join
недалеко,near
выставить,put up
прижать,press
препарат,a drug
передавать,transmit
догадываться,guess
заметный,perceptible
недостаток,flaw
министерство,ministry
выступить,perform
отрезать,cut off
искра,spark
дурной,bad
трус,coward
заключение,conclusion
экзамен,exam
скамейка,bench
хохотать,laugh
охотник,hunter
разглядеть,make out
пустыня,desert
разбираться,Understand
понимание,understanding
дважды,twice
пресса,press
молния,lightning
воспользоваться,take advantage
психический,mental
достаться,Get it
сахар,sugar
реальность,reality
одиночество,loneliness
социализм,socialism
судно,vessel
туалет,toilet
окружающее,surrounding
якобы,supposedly
атмосфера,atmosphere
удача,luck
бросаться,rush up
оценка,grade
волга,Volga
пароход,steamer
служебный,service
вне,outside
остановка,stop
рыцарь,knight
академик,academician
пустота,emptiness
копейка,penny
версия,version
ножка,leg
деревенский,rustic
аккумулятор,battery
исключить,Exclude
провожать,Spend
собеседник,companion
триста,three hundred
прошептать,whisper
плоский,flat
зритель,viewer
нынче,Today
осмотреть,inspect
характерный,characteristic
вздрогнуть,start
старость,old age
цивилизация,civilization
посвятить,dedicate
перенести,postpone
драка,fight
лифт,elevator
тряпка,rag
колбаса,sausage
прервать,interrupt
отчет,report
каша,porridge
освободить,Free
дьявол,devil
сарай,barn
использование,usage
творчество,creation
неторопливый,leisurely
проход,passage
чечня,Chechnya
воробей,sparrow
учесть,take into account
походить,walk
относительно,relatively
подвести,Support
рваться,to break
мышца,muscle
жирный,fatty
дожидаться,Wait
рассвет,dawn
всерьез,seriously
кивать,nod
коммунизм,communism
сбежать,run away
глоток,a sip
доказательство,proof
ввести,Introduce
крайне,Extremely
нация,nation
сердито,angrily
узел,Knot
грустно,sad
зависимость,addiction
груз,cargo
империя,empire
определять,Determine
комбат,Combat
величина,value
крышка,lid
воздействие,impact
допустить,allow
сбросить,reset
кирпич,brick
полюбить,To love
глазок,Eye
содержать,contain
турист,tourist
де,de
обмен,exchange
всеобщий,general
перевод,translation
четверо,four
стрела,arrow
уголок,corner
лишенный,deprived
превращаться,turn
лавка,shop
ласково,Affectionate
поцеловать,kiss
блюдо,dish
арестовать,to arrest
оглядеть,look around
ток,current
славный,glorious
окоп,trench
демократия,democracy
рвать,tear
шевелиться,stir
свойство,property
рухнуть,collapse
посторонний,outsider
кончаться,finish
успокоить,Calm
рассуждать,reason
секретный,secret
приключение,adventure
искусственный,artificial
получение,Obtaining
ступенька,step
поза,pose
постучать,knock
штат,state
выборы,elections
носок,sock
сосна,pine
олень,deer
сидя,Sitting
доказывать,prove
перемена,turn
вытянуть,pull out
бригадир,Brigadier
впоследствии,Subsequently
уверенность,confidence
сложить,Fold
акция,promotion
чрезвычайно,extremely
ранить,wound
половый,sexual
засыпать,fall asleep
доходить,Come
космический,space
жених,groom
неподалеку,nearby
командовать,command
китай,China
сломать,break
орел,eagle
сорваться,Break
развернуть,expand
дневник,diary
музыкальный,musical
суббота,Saturday
повышение,Increase
гимнастерка,tunic
грозить,threaten
обмануть,deceive
статус,status
посоветовать,give advice
папироса,cigarette
разойтись,Dismiss
восьмой,eighth
убежать,run away
культурный,cultural
воскресенье,Sunday
собачий,canine
сохраниться,Save
помешать,interfere
проводник,conductor
рюмка,glass
свеча,candle
рассмеяться,laugh
красиво,Beautiful
светиться,shine
белок,protein
поначалу,At first
вдвоем,together
помимо,In addition
вспыхнуть,Freeze
решетка,lattice
фактор,factor
слепой,blind
целовать,kiss
отказ,refusal
волшебник,wizard
изредка,occasionally
нажать,press
заказать,to order
соответствовать,correspond
решаться,decide
болтать,chat
указание,Indication
доклад,report
нестись,rush
прочь,away
страдание,suffering
окончание,ending
строка,line
тротуар,sidewalk
конфликт,conflict
справка,reference
мебель,furniture
вежливо,politely
ноготь,nail
отнюдь,by no means
химический,chemical
сосуд,vessel
корея,Korea
трудовой,labor
явный,Explicit
владеть,own
достижение,achievement
дополнительный,additional
константин,Konstantin
асфальт,asphalt
заменить,replace
челюсть,jaw
подвиг,feat
колдун,witch
наряд,outfit
кончать,finish
письменный,writing
соображать,Complete
соглашаться,agree
скрытый,hidden
рисунок,picture
прятаться,hide
плюс,plus
попадаться,getting caught
частность,particular
жалость,a pity
транспорт,transport
наказание,punishment
изображать,portray
выражать,to express
образоваться,form
способствовать,contribute
съезд,Congress
заложить,lay
семьдесят,seventy
исходить,come
накануне,The day before
окончить,Finish
отчетливо,Clearly
рамка,frame
акт,Act
посетитель,visitor
долина,valley
невероятный,incredible
влажный,wet
вылезть,Get out
выпасть,fall out
божий,God
социалистический,socialist
обсуждать,discuss
очнуться,wake up
рисковать,to risk
выступление,performance
гордиться,be proud
загадочный,mysterious
издание,edition
выразить,express
окружающий,surrounding
чашка,cup
соображение,consideration
жир,fat
миновать,Min
намерение,intention
жаркий,hot
спасать,save
ванный,Bath
ложь,False
отходить,to depart
кузнец,blacksmith
балкон,balcony
запереть,lock
полевой,field
жарко,hot
допрос,Interrogation
подходящий,suitable
спектакль,performance
предупреждать,warn
длительный,long
почва,the soil
легенда,legend
отыскать,Find it
оборачиваться,turn around
срочно,urgently
малейший,The slightest
жидкость,liquid
приемный,Reception
охватить,Cover
благодарить,thank
вздыхать,sigh
блок,block
усталость,fatigue
рисовать,draw
беседовать,Talk
надеть,put on
небось,I suppose
поспешно,Hastily
заключить,to conclude
надежный,reliable
нужда,need
окошко,window
гудеть,buzz
сюжет,plot
приличный,decent
генеральный,general
угадать,guess
хитрый,cunning
осколок,the Shard
кинуться,rush
дурацкий,Stupid
сок,juice
будущий,future
испытать,Test
усталый,tired
кремль,Kremlin
мышка,mouse
эффект,the effect
пещера,cave
покраснеть,Brush
зад,ass
возиться,Back
хранить,keep
небесный,heavenly
сменить,change
приподнять,Raise
шагнуть,step
разрыв,gap
цех,shop
браться,take up
задумываться,To think
подоконник,windowsill
великолепный,fabulous
тыл,rear
металл,metal
отсутствовать,absent
фонд,fund
догнать,catch up
майка,T -shirt
испуганно,Frightened
полгода,Six months
ночевать,Open
выехать,Go away
рай,paradise
корреспондент,correspondent
схема,scheme
четверть,quarter
ерунда,nonsense
жевать,chew
несчастье,misfortune
радостный,glad
окружение,environment
учительница,Teacher
давний,A longtime
предок,ancestor
кислота,acid
пропадать,disappear
солдатский,Soldier
напрасно,In vain
просыпаться,wake up
анекдот,joke
подпись,signature
гнев,anger
общежитие,hostel
рог,horn
штурман,navigator
физика,physics
резать,cut
тронуть,touch
десятый,tenth
чудесный,wonderful
виднеться,You can see
стоя,Standing
совместный,joint
змея,snake
некуда,Nowhere
монах,monk
осенний,autumn
промышленность,industry
картинка,picture
тихонько,Quietly
ручей,Creek
общение,communication
советовать,advise
соседка,neighbor
ветвь,branch
свалиться,fall off
проявить,show
сметь,dare
переулок,Lane
неправильный,wrong
поделать,To do
толкнуть,push
аж,already
стальной,steel
лечить,treat
подъем,climb
ругаться,swear
издательство,Publisher
сопротивление,resistance
раздражение,irritation
уложить,Put
сочинение,essay
наверх,upstairs
завидовать,to envy
треск,Crack
уголь,coal
хлопать,clap
вытереть,wipe it
масштаб,scale
заслужить,earn
стойка,rack
довести,Bring
нападение,attack
плита,plate
пляж,beach
трястись,shake
подросток,teenager
присутствовать,to be present
спальня,bedroom
экипаж,crew
слуга,servant
лампочка,bulb
скучно,boring
тупой,stupid
поцелуй,kiss
уважаемый,dear
туфля,shoe
вырвать,Tear out
пуговица,button
шампанский,Champagne
мелькнуть,flicker
благодарность,gratitude
череп,scull
перспектива,Perspective
последующий,subsequent
наклониться,bend down
стесняться,hesitate
дружок,Friend
превратить,turn
обижаться,take offense
накрыть,Cover
таскать,carry
вставить,insert
гад,bastard
застыть,freeze
пьеса,play
примета,Sign
залить,Pour
разумный,reasonable
сено,hay
нередко,Often
мчаться,rush
недовольный,dissatisfied
внезапный,sudden
игрушка,toy
стоимость,price
учреждение,institution
воротник,collar
сжечь,burn
опасаться,fear
спинка,back
проверка,examination
курсант,Cadet
уход,care
удержаться,keep
подослать,send
эксперимент,experiment
барин,Barin
пообещать,make a promise
англия,England
заболеть,get sick
потрясти,Shock
падение,the fall
девятый,ninth
поворачиваться,turn
петух,rooster
записывать,write down
любитель,amateur
щелкнуть,Click
медный,copper
наверху,upstairs
точность,accuracy
чеченец,Chechen
ценный,valuable
глупо,Stupid
передовой,advanced
тесный,close
исполнение,execution
хронический,chronic
стремление,pursuit
наполнить,Fill
неподвижный,fixed
четко,Clearly
проехать,drive
отобрать,Take away
вина,guilt
ведьма,witch
подлинный,authentic
адвокат,advocate
апрель,April
бюджет,budget
боцман,boatswain
разрушить,Destroy
барак,Barak
алый,scarlet
архив,archive
выслушать,listen
цветной,color
прыгнуть,jump
палуба,deck
кровавый,bloody
вольный,free
доверять,trust
юность,youth
сбор,collection
базар,Bazaar
нарушить,violate
готовность,readiness
рубеж,line
искренне,sincerely
ай,ay
прибыль,profit
передо,in front
дескать,Say
интеллигенция,intelligentsia
почта,mail
сдавать,hand over
монастырь,monastery
практика,practice
тратить,spend
ярость,rage
совершать,make
нарисовать,Draw
сниться,dream
академия,Academy
грустный,sad
физиономия,face
струя,jet
столичный,metropolitan
подземный,underground
головной,head
попалить,Pour
переставать,stop
теща,mother -in -law
пришелец,Alien
гнома,gnome
конверт,the envelope
процедура,procedure
понести,to incur
нуждаться,need
лужа,puddle
выпилить,Drink
необычный,unusual
сердиться,be angry
юбка,skirt
звон,Calling
соединить,connect
люк,Luke
ошибаться,To make mistakes
нехорошо,not good
недавний,recent
аэропорт,an airport
задать,Set
наблюдаться,to be observed
подполковник,lieutenant colonel
растеряться,be confused
промолчать,keep silent
выражаться,express
богатство,wealth
мудрый,wise
налог,tax
всюду,everywhere
минимум,minimum
издали,from afar
ад,hell
полотенце,towel
воспаление,inflammation
наслаждение,pleasure
продажа,sale
фашист,fascist
колючий,barbed
выиграть,win
полость,cavity
проволока,wire
удивить,Surprise
флот,fleet
уверенно,Confidently
маска,mask
включать,include
удивленно,In surprise
атака,attack
согласие,agreement
клясться,to swear
раскрытый,disclosed
пожелать,wish
приниматься,Accept
приложить,attach
реформа,reform
кинуть,throw
оперативный,operational
жрать,Eat
техник,technician
дошлый,Divine
надолго,For a long time
оторваться,Turn away
охранник,security guard
пугать,frighten
установка,installation
сверкать,sparkle
расход,consumption
неприятно,Unpleasant
забытый,forgotten
поесть,Eat
зависть,envy
барон,Baron
талантливый,talented
отправляться,Go
несомненно,Undoubtedly
изобразить,depict
бред,rave
нарочно,deliberately
прихожая,hallway
комендант,commandant
рослый,tall
высказать,express
мутный,turbid
кисть,brush
цирк,circus
квартал,quarter
нелепый,Absolutely
пешком,on foot
жуткий,Terrible
жилье,Housing
приступ,attack
предыдущий,previous
спалить,burn
политбюро,Politburo
спасение,the rescue
моральный,moral
определение,definition
образец,sample
одиннадцать,eleven
здешний,local
фантазия,fantasy
спорт,sport
вначале,at first
гладкий,smooth
июль,July
шептать,whisper
телеграмма,telegram
напиток,drink
торговля,trade
юмор,humor
испортить,spoil
молчаливый,silent
следовательно,Consequently
отъезд,departure
чтение,reading
мучить,torture
надевать,put on
сумерки,twilight
царский,royal
вылететь,fly out
овраг,ravine
недолго,not for long
видеться,see
свободно,free
охранять,protect
авиация,aviation
берлин,Berlin
этакий,sort of
облегчение,relief
скрываться,hide
весенний,spring
влезть,climb
трясти,shake
рядовой,Private
приблизиться,get closer
дыра,hole
настаивать,insist
оркестр,orchestra
визит,visit
большевик,Bolshevik
сибирь,Siberia
старательный,diligent
напряженный,tense
машинка,Machine
термин,term
интервью,interview
выжить,survive
гордый,proud
покидать,leave
приезд,arrival
табак,tobacco
переговоры,negotiation
гараж,garage
книжный,book
сталкер,Stalker
неудобно,Unknown
сельский,rural
протягивать,Extend
торговать,trade
классический,classical
отстать,Lack
слизистый,slimy
осторожный,careful
исполнить,Perform
таковой,such
слышный,audible
кризис,a crisis
набитый,full
ответственный,responsible
подобно,like
совещание,Meeting
раздаваться,Rettle
мучиться,to suffer
риск,risk
мыло,soap
забросить,abandon
счесть,Submission
котелок,Kotelik
повышенный,increased
ремонт,repair
авторитет,authority
провод,the wire
использоваться,used
извиняться,apologize
представиться,introduce yourself
англичанин,Englishman
уверять,assure
наступление,offensive
объем,volume
отнять,take away
рев,roar
щит,shield
стадо,herd
растерянно,Confused
некого,No one
прогулка,stroll
натура,nature
фуражка,cap
рассмотреть,Consider
учитывать,consider
признание,confession
демократический,democratic
окраина,outskirts
греметь,thunder
оглядеться,look around
гениальный,Brilline
пыльный,dusty
маг,magician
ступать,to step
сгореть,burn
плотно,tightly
обращение,Appeal
командировка,business trip
подозрение,suspicion
ген,gene
погаснуть,Turn off
торговый,trade
злость,anger
пузырь,bubble
испытание,trial
нанести,Apply
прохожий,Passerby
прыжок,bounce
вена,vein
вытирать,wipe
включая,including
неподвижно,still
осознать,realize
пройтись,Go
обидно,It's a shame
палочка,wand
ленинградский,Leningradsky
годиться,suit
мысленно,mentally
кгб,KGB
заполнить,fill in
взор,gaze
раздражать,annoy
нары,Nary
катастрофа,catastrophe
коллектив,team
новенький,new
хор,choir
отказать,Refuse
отложить,postpone
свести,Remove
зарабатывать,earn
рвануть,Rush
заказ,order
максимальный,maximum
железнодорожный,railway
свидетельство,certificate
казенный,state -owned
отмечать,note
поклониться,bow
докладывать,report
отнести,Take it
фактически,actually
привязать,Bind
положительный,positive
трагедия,tragedy
наружу,out
ткнуть,poke
деятель,The figure
прогресс,progress
зажать,Squeeze
реклама,advertising
бокал,wineglass
кран,tap
проспект,avenue
калитка,gate
увеличение,increase
братец,Brother
маршрут,route
шуба,fur coat
дернуть,pull
энергичный,vigorous
возить,carry
продолжение,continuation
безнадежный,hopeless
размышлять,reflect
арест,arrest
катиться,roll
китаец,Chinese
капитал,capital
космос,space
налево,left
разбить,Break
абсолютный,absolute
непосредственно,directly
обидеть,offend
коснуться,touch
италия,Italy
заключенный,prisoner
описание,description
выделить,Highlight
помереть,Mind
смертный,mortal
ругать,to scold
замысел,The idea
хутор,Farm
матрос,sailor
полдень,noon
сынок,son
беспокоить,bother
восстановить,restore
выставка,Exhibition
ноль,zero
достигать,achieve
кишка,intestine
величество,Majesty
зерно,corn
цепочка,chain
монета,coin
волновать,worry
отчаянный,desperate
протокол,protocol
идеал,ideal
перчатка,glove
село,village
задержаться,linger
нетерпеливый,impatient
стукнуть,hit
сердечный,cordial
ранее,previously
рожа,erysipelas
дата,the date
зелень,greens
подчеркнуть,emphasize
ежели,If
набирать,To recruit
разделить,divide
каюта,cabin
февраль,February
происшествие,incident
исполнять,Perform
категория,category
плюнуть,spit
придавать,give
трамвай,tram
любопытный,curious
извлечь,extract
светло,Light
набережная,embankment
телевидение,a television
продукция,Products
выгнать,drive out
маршал,Marshal
приступить,To begin
интеллигент,intellectual
фабрика,factory
делиться,share
показание,indication
выносить,take out
небрежно,Carelessly
безусловно,undoubtedly
пустяк,trifle
разноцветный,multi -colored
прилететь,fly in
растение,plant
гул,hum
вступать,enter
стройный,slim
одеваться,dress
ценить,value
стыд,shame
бюро,the Bureau
завернуть,Wrap
воспринимать,perceive
дока,Doc
избавиться,Get rid
германский,German
унести,Take away
зажечь,light
квадратный,square
советник,Advisor
башмак,shoe
жажда,thirst
популярный,popular
преимущество,advantage
направо,right
лет,years
проза,prose
имущество,property
премия,Prize
влюбленный,enamored
казарма,barracks
поверх,on top
привлечь,attract
внешность,appearance
приход,coming
очутиться,Come in
чудовищный,monstrous
ставка,bid
уголовный,criminal
прощаться,saying goodbye
провалиться,fail
располагаться,Locate
рис,rice
манера,manner
мелькать,flicker
обычай,custom
перевернуть,Turn over
пасть,mouth
медаль,medal
крутиться,spin
биография,biography
украина,Ukraine
лондон,London
крохотный,tiny
тетрадь,notebook
стремительно,Swiftly
обедать,lunch
нарушать,violate
велосипед,bike
колодец,well
противный,nasty
кончик,tip
ванна,bath
густо,thick
жалоба,a complaint
традиционный,traditional
благодарный,grateful
убедить,convince
стрельба,shooting
холодильник,refrigerator
бешеный,Frantic
исход,Exodus
ласковый,Affectionate
воспитание,upbringing
награда,reward
печень,liver
развернуться,turn around
типичный,typical
часовой,hourly
стихотворение,poem
характеристика,characteristic
торжественно,solemnly
огненный,fiery
повязка,bandage
праздничный,festive
учет,Accounting
крепость,fortress
проявлять,show
качать,sway
добыча,Premotion
трудность,difficulty
просторный,spacious
отступать,retreat
соответственно,respectively
умение,skill
завалить,Fill out
внести,Bring
упереться,To rest
застать,Five
постоялый,Constant
перерыв,break
губернатор,Governor
славка,Slavka
опускаться,To fall
доверие,the trust
подряд,contract
фантастический,fantastic
темнеть,Darkered
яд,poison
гостиный,Gostiny
доход,income
оказать,Provide
роскошный,luxurious
мак,poppy
инструкция,Instructions
ир,Ir
спокойствие,Calm
недоумение,perplexity
психологический,psychological
хоббит,Hobbit
бинокль,binoculars
лысый,bald
вглядываться,peer
килограмм,kilogram
печально,sadly
революционный,revolutionary
меньший,less
двойной,double
марш,march
вселенная,Universe
прибавить,add
тварь,creature
чайник,teapot
лыжа,ski
спустить,lower
беспокойство,anxiety
опубликовать,Publish
отпускать,let off
намек,hint
пробить,to break through
воровать,steal
плач,cry
тревожный,Anxious
природный,natural
трактор,tractor
отдельно,separately
допускать,admit
рассчитать,Calculate
таять,melt
возмутиться,outraged
модный,fashionable
задыхаться,Choking
расстаться,breake down
покончить,to end
гитара,guitar
замечание,comment
совершенный,perfect
проводиться,carried out
корточки,Carpet
раб,slave
заведение,institution
знамя,banner
бедро,hip
вспышка,flash
фрукт,fruit
скрыть,Hide
мотоцикл,motorcycle
невысокий,low
мероприятие,event
чин,Chin
действующий,acting
администрация,administration
опоздать,late
пожарный,fireman
перехватить,intercept
петля,the loop
неопределенный,uncertain
ненужный,unnecessary
простыня,sheet
витрина,Shine
аппетит,appetite
потихоньку,Slowly
успокаивать,calm down
обеспечивать,provide
уточнить,clarify
опасно,dangerously
ресница,eyelash
обрести,find
погладить,stroke
критика,criticism
чертовый,Damn
шпион,spy
дуб,oak
лениво,lazily
свист,whistling
технология,technology
дремать,nap
возбудить,excite
столетие,century
болезненный,painful
крутить,Twist
партизан,Partisan
выходной,day off
неуверенный,uncertain
защитить,protect
